symbol,sector,industry
CAPT,Miscellaneous,Industrial Machinery/Components
CAPTW,Miscellaneous,Industrial Machinery/Components
CAR,Consumer Discretionary,Rental/Leasing Companies
CARE,Finance,Major Banks
CARG,Technology,EDP Services
CARL,Health Care,Medical/Dental Instruments
CARM,Health Care,Biotechnology: Pharmaceutical Preparations
CARR,Industrials,Industrial Machinery/Components
CARS,Technology,EDP Services
CART,Real Estate,Real Estate
CARV,Finance,Savings Institutions
CASH,Finance,Major Banks
CASI,Health Care,Biotechnology: Pharmaceutical Preparations
CASK,Consumer Staples,Beverages (Production/Distribution)
CASS,Real Estate,Real Estate
CASY,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CAT,Industrials,Construction/Ag Equipment/Trucks
CATO,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CATX,Health Care,Medical/Dental Instruments
CATY,Finance,Major Banks
CAVA,Consumer Discretionary,Restaurants
CB,Finance,Property-Casualty Insurers
CBAN,Finance,Major Banks
CBAT,Miscellaneous,Industrial Machinery/Components
CBFV,Finance,Major Banks
CBIO,Health Care,Biotechnology: Pharmaceutical Preparations
CBL,Real Estate,Real Estate Investment Trusts
CBLL,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CBNA,Finance,Major Banks
CBNK,Finance,Major Banks
CBOE,Finance,Investment Bankers/Brokers/Service
CBRE,Finance,Real Estate
CBRL,Consumer Discretionary,Restaurants
CBSH,Finance,Major Banks
CBT,Industrials,Major Chemicals
CBU,Finance,Major Banks
CBUS,Industrials,Agricultural Chemicals
CBZ,Real Estate,Real Estate
CC,Industrials,Major Chemicals
CCAP,Finance,Finance: Consumer Services
CCB,Finance,Major Banks
CCBG,Finance,Major Banks
CCCC,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CCCS,Technology,Computer Software: Prepackaged Software
CCCX,Finance,Blank Checks
CCCXU,Finance,Blank Checks
CCCXW,Finance,Blank Checks
CCD,Finance,Trusts Except Educational Religious and Charitable
CCEC,Consumer Discretionary,Marine Transportation
CCEL,Health Care,Misc Health and Biotechnology Services
CCEP,Consumer Staples,Beverages (Production/Distribution)
CCG,Finance,Specialty Insurers
CCGWW,Finance,Specialty Insurers
CCI,Real Estate,Real Estate Investment Trusts
CCIF,Finance,Finance/Investors Services
CCJ,Basic Materials,Other Metals and Minerals
CCK,Industrials,Containers/Packaging
CCL,Consumer Discretionary,Marine Transportation
CCLD,Technology,Computer Software: Prepackaged Software
CCLDO,Technology,Computer Software: Prepackaged Software
CCM,Health Care,Medical/Nursing Services
CCNE,Finance,Major Banks
CCNEP,Finance,Major Banks
CCO,Consumer Discretionary,Advertising
CCOI,Consumer Discretionary,Telecommunications Equipment
CCRD,Technology,Computer Software: Prepackaged Software
CCRN,Consumer Discretionary,Professional Services
CCS,Consumer Discretionary,Homebuilding
CCSI,Technology,Computer Software: Prepackaged Software
CCTG,Consumer Discretionary,Building Products
CCU,Consumer Staples,Beverages (Production/Distribution)
CCZ,Telecommunications,Cable & Other Pay Television Services
CDE,Basic Materials,Precious Metals
CDIO,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CDIOW,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CDLR,Consumer Discretionary,Marine Transportation
CDLX,Technology,Computer Software: Programming Data Processing
CDNA,Health Care,Medical Specialities
CDNS,Technology,Computer Software: Prepackaged Software
CDP,Real Estate,Real Estate Investment Trusts
CDRE,Health Care,Industrial Specialties
CDRO,Consumer Discretionary,Services-Misc. Amusement & Recreation
CDROW,Consumer Discretionary,Services-Misc. Amusement & Recreation
CDT,Health Care,Biotechnology: Pharmaceutical Preparations
CDTG,Industrials,Miscellaneous
CDTTW,Health Care,Biotechnology: Pharmaceutical Preparations
CDTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CDW,Technology,Retail: Computer Software & Peripheral Equipment
CDXS,Industrials,Major Chemicals
CDZI,Utilities,Water Supply
CDZIP,Utilities,Water Supply
CE,Industrials,Major Chemicals
CECO,Industrials,Pollution Control Equipment
CEE,Finance,Finance Companies
CEG,Utilities,Electric Utilities: Central
CELC,Health Care,Medical Specialities
CELH,Consumer Staples,Beverages (Production/Distribution)
CELU,Health Care,Biotechnology: Pharmaceutical Preparations
CELUW,Health Care,Biotechnology: Pharmaceutical Preparations
CELZ,Finance,Finance: Consumer Services
CENN,Industrials,Auto Manufacturing
CENT,Consumer Discretionary,Consumer Specialties
CENTA,Consumer Discretionary,Consumer Specialties
CENX,Industrials,Aluminum
CEP,Finance,Investment Managers
CEPF,Finance,Blank Checks
CEPO,Finance,Blank Checks
CEPT,Finance,Blank Checks
CEPU,Utilities,Electric Utilities: Central
CERO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CEROW,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CERS,Technology,EDP Services
CERT,Technology,Computer Software: Prepackaged Software
CET,Finance,Finance/Investors Services
CETX,Technology,Electrical Products
CETY,Consumer Discretionary,Metal Fabrications
CEV,Finance,Finance/Investors Services
CEVA,Technology,Computer Software: Programming Data Processing
CF,Industrials,Agricultural Chemicals
CFBK,Finance,Major Banks
CFFI,Finance,Major Banks
CFFN,Finance,Savings Institutions
CFG,Finance,Major Banks
CFLT,Technology,Computer Software: Prepackaged Software
CFR,Finance,Major Banks
CFSB,Finance,Savings Institutions
CG,Finance,Investment Managers
CGABL,Finance,Investment Managers
CGAU,Basic Materials,Precious Metals
CGBD,Finance,Finance: Consumer Services
CGC,Health Care,Medicinal Chemicals and Botanical Products
CGCT,Finance,Blank Checks
CGCTW,Finance,Blank Checks
CGEM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGNT,Technology,Computer Software: Prepackaged Software
CGNX,Industrials,Industrial Machinery/Components
CGO,Finance,Investment Managers
CGTL,Technology,Retail: Computer Software & Peripheral Equipment
CGTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHA,Consumer Discretionary,Restaurants
CHACR,Finance,Blank Checks
CHCI,Finance,Real Estate
CHCO,Finance,Major Banks
CHCT,Real Estate,Real Estate Investment Trusts
CHD,Consumer Discretionary,Package Goods/Cosmetics
CHDN,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHE,Health Care,Medical/Nursing Services
CHECU,Finance,Blank Checks
CHEF,Consumer Discretionary,Food Distributors
CHEK,Health Care,Medical Electronics
CHGG,Real Estate,Other Consumer Services
CHH,Consumer Discretionary,Hotels/Resorts
CHI,Finance,Investment Managers
CHKP,Technology,Computer Software: Prepackaged Software
CHMG,Finance,Major Banks
CHMI,Real Estate,Real Estate Investment Trusts
CHN,Finance,Investment Managers
CHNR,Basic Materials,Precious Metals
CHPT,Consumer Discretionary,Industrial Specialties
CHR,Technology,EDP Services
CHRD,Energy,Oil & Gas Production
CHRS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHRW,Industrials,Integrated Freight & Logistics
CHSCL,Industrials,Farming/Seeds/Milling
CHSCM,Industrials,Farming/Seeds/Milling
CHSCN,Industrials,Farming/Seeds/Milling
CHSCO,Industrials,Farming/Seeds/Milling
CHSCP,Industrials,Farming/Seeds/Milling
CHSN,Consumer Staples,Packaged Foods
CHT,Telecommunications,Telecommunications Equipment
CHTR,Telecommunications,Cable & Other Pay Television Services
CHW,Finance,Investment Managers
CHWY,Consumer Discretionary,Catalog/Specialty Distribution
CHY,Finance,Investment Managers
CHYM,Finance,Finance: Consumer Services
CI,Health Care,Medical Specialities
CIA,Finance,Life Insurance
CIB,Finance,Commercial Banks
CICB,Finance,Finance/Investors Services
CIEN,Utilities,Telecommunications Equipment
CIF,Finance,Trusts Except Educational Religious and Charitable
CIFR,Finance,Finance: Consumer Services
CIFRW,Finance,Finance: Consumer Services
CIG,Utilities,Electric Utilities: Central
CIGI,Finance,Real Estate
CIGL,Consumer Discretionary,Diversified Commercial Services
CII,Finance,Investment Bankers/Brokers/Service
CIIT,Energy,Oil & Gas Production
CIK,Finance,Finance/Investors Services
CIM,Real Estate,Real Estate Investment Trusts
CIMN,Real Estate,Real Estate Investment Trusts
CIMO,Real Estate,Real Estate Investment Trusts
CINF,Finance,Property-Casualty Insurers
CING,Health Care,Biotechnology: Pharmaceutical Preparations
CINGW,Health Care,Biotechnology: Pharmaceutical Preparations
CINT,Technology,EDP Services
CIO,Real Estate,Real Estate Investment Trusts
CION,Finance,Finance/Investors Services
CISO,Consumer Discretionary,Professional Services
CISS,Consumer Discretionary,Marine Transportation
CIVB,Finance,Major Banks
CIVI,Energy,Oil & Gas Production
CIX,Consumer Discretionary,Industrial Machinery/Components
CJET,Industrials,Auto Manufacturing
CJMB,Real Estate,Real Estate
CKX,Energy,Oil & Gas Production
CL,Consumer Discretionary,Package Goods/Cosmetics
CLAR,Consumer Discretionary,Recreational Games/Products/Toys
CLB,Energy,Oilfield Services/Equipment
CLBK,Finance,Savings Institutions
CLBT,Technology,Computer Software: Prepackaged Software
CLCO,Consumer Discretionary,Marine Transportation
CLDI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLDT,Real Estate,Real Estate Investment Trusts
CLDX,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CLF,Basic Materials,Metal Mining
CLFD,Utilities,Telecommunications Equipment
CLGN,Health Care,Industrial Specialties
CLH,Industrials,Environmental Services
CLIK,Consumer Discretionary,Diversified Commercial Services
CLIR,Industrials,Industrial Machinery/Components
CLLS,Health Care,Biotechnology: Pharmaceutical Preparations
CLM,Finance,Finance/Investors Services
CLMB,Technology,Retail: Computer Software & Peripheral Equipment
CLMT,Energy,Integrated oil Companies
CLNE,Utilities,Natural Gas Distribution
CLNN,Health Care,Biotechnology: Pharmaceutical Preparations
CLNNW,Health Care,Biotechnology: Pharmaceutical Preparations
CLOV,Health Care,Medical Specialities
CLPR,Real Estate,Real Estate Investment Trusts
CLPS,Technology,Computer Software: Prepackaged Software
CLPT,Health Care,Medical/Dental Instruments
CLRB,Health Care,Biotechnology: Pharmaceutical Preparations
CLRO,Utilities,Telecommunications Equipment
CLS,Technology,Electrical Products
CLSD,Health Care,Biotechnology: Pharmaceutical Preparations
CLSK,Finance,Finance: Consumer Services
CLSKW,Finance,Finance: Consumer Services
CLST,Finance,Savings Institutions
CLVT,Technology,EDP Services
CLW,Basic Materials,Paper
CLWT,Consumer Discretionary,Professional and commerical equipment
CLX,Consumer Discretionary,Specialty Chemicals
CLYM,Health Care,Biotechnology: Pharmaceutical Preparations
CM,Finance,Commercial Banks
CMA,Finance,Major Banks
CMBM,Technology,Radio And Television Broadcasting And Communications Equipment
CMBT,Consumer Discretionary,Marine Transportation
CMC,Industrials,Steel/Iron Ore
CMCL,Basic Materials,Precious Metals
CMCM,Technology,Computer Software: Prepackaged Software
CMCO,Industrials,Construction/Ag Equipment/Trucks
CMCSA,Telecommunications,Cable & Other Pay Television Services
CMCT,Real Estate,Real Estate Investment Trusts
CME,Finance,Investment Bankers/Brokers/Service
CMG,Consumer Discretionary,Restaurants
CMI,Industrials,Industrial Machinery/Components
CMMB,Health Care,Biotechnology: Pharmaceutical Preparations
CMND,Health Care,Biotechnology: Pharmaceutical Preparations
CMP,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CMPO,Finance,Finance: Consumer Services
CMPOW,Finance,Finance: Consumer Services
CMPR,Consumer Discretionary,Publishing
CMPS,Health Care,Biotechnology: Pharmaceutical Preparations
CMPX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CMRC,Technology,Computer Software: Prepackaged Software
CMRE,Consumer Discretionary,Marine Transportation
CMS,Utilities,Power Generation
CMSA,Utilities,Power Generation
CMSC,Utilities,Power Generation
CMSD,Utilities,Power Generation
CMT,Industrials,Plastic Products
CMTG,Finance,Real Estate
CMTL,Technology,Radio And Television Broadcasting And Communications Equipment
CMU,Finance,Investment Managers
CNA,Finance,Property-Casualty Insurers
CNC,Health Care,Medical Specialities
CNCK,Finance,Finance: Consumer Services
CNCKW,Finance,Finance: Consumer Services
CNDT,Real Estate,Real Estate
CNET,Technology,Computer Software: Programming Data Processing
CNEY,Industrials,Major Chemicals
CNF,Finance,Finance: Consumer Services
CNFR,Finance,Property-Casualty Insurers
CNFRZ,Finance,Property-Casualty Insurers
CNH,Industrials,Construction/Ag Equipment/Trucks
CNI,Industrials,Railroads
CNK,Consumer Discretionary,Movies/Entertainment
CNM,Consumer Discretionary,Durable Goods
CNMD,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNNE,Consumer Discretionary,Restaurants
CNO,Finance,Accident &Health Insurance
CNOB,Finance,Major Banks
CNOBP,Finance,Major Banks
CNP,Utilities,Electric Utilities: Central
CNQ,Energy,Oil & Gas Production
CNR,Energy,Coal Mining
CNS,Finance,Investment Managers
CNSP,Health Care,Biotechnology: Pharmaceutical Preparations
CNTA,Health Care,Biotechnology: Pharmaceutical Preparations
CNTB,Health Care,Biotechnology: Pharmaceutical Preparations
CNTX,Health Care,Biotechnology: Pharmaceutical Preparations
CNTY,Consumer Discretionary,Hotels/Resorts
CNVS,Consumer Discretionary,Consumer Electronics/Video Chains
CNX,Energy,Oil & Gas Production
CNXC,Technology,Computer Software: Prepackaged Software
CNXN,Consumer Discretionary,Catalog/Specialty Distribution
COCH,Health Care,Industrial Specialties
COCHW,Health Care,Industrial Specialties
COCO,Consumer Staples,Beverages (Production/Distribution)
COCP,Health Care,Biotechnology: Pharmaceutical Preparations
CODA,Industrials,Industrial Machinery/Components
CODI,Consumer Discretionary,Home Furnishings
CODX,Health Care,Medical/Dental Instruments
COE,Real Estate,Other Consumer Services
COEP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COEPW,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COF,Finance,Major Banks
COFS,Finance,Major Banks
COGT,Health Care,Biotechnology: Pharmaceutical Preparations
COHN,Finance,Investment Bankers/Brokers/Service
COHR,Technology,Electronic Components
COHU,Industrials,Electrical Products
COIN,Finance,Finance: Consumer Services
COKE,Consumer Staples,Beverages (Production/Distribution)
COLB,Finance,Major Banks
COLD,Real Estate,Real Estate Investment Trusts
COLL,Health Care,Biotechnology: Pharmaceutical Preparations
COLM,Consumer Discretionary,Apparel
COMM,Technology,Radio And Television Broadcasting And Communications Equipment
COMP,Technology,EDP Services
CON,Health Care,Medical Specialities
COO,Health Care,Ophthalmic Goods
COOK,Consumer Discretionary,Consumer Electronics/Appliances
COOP,Finance,Finance: Consumer Services
COOT,Consumer Staples,Packaged Foods
COOTW,Consumer Staples,Packaged Foods
COP,Energy,Integrated oil Companies
COR,Health Care,Other Pharmaceuticals
CORT,Health Care,Biotechnology: Pharmaceutical Preparations
CORZ,Finance,Finance: Consumer Services
CORZW,Finance,Finance: Consumer Services
CORZZ,Finance,Finance: Consumer Services
COSM,Health Care,Other Pharmaceuticals
COSO,Finance,Major Banks
COST,Consumer Discretionary,Department/Specialty Retail Stores
COTY,Consumer Discretionary,Package Goods/Cosmetics
COUR,Technology,Computer Software: Prepackaged Software
COYA,Health Care,Biotechnology: Pharmaceutical Preparations
CP,Industrials,Railroads
CPA,Consumer Discretionary,Air Freight/Delivery Services
CPAC,Industrials,Building Materials
CPAY,Real Estate,Real Estate
CPB,Consumer Staples,Packaged Foods
CPBI,Finance,Savings Institutions
CPF,Finance,Major Banks
CPHC,Consumer Discretionary,Services-Misc. Amusement & Recreation
CPHI,Health Care,Biotechnology: Pharmaceutical Preparations
CPIX,Health Care,Biotechnology: Pharmaceutical Preparations
CPK,Utilities,Oil & Gas Production
CPNG,Consumer Discretionary,Catalog/Specialty Distribution
CPOP,Consumer Discretionary,Services-Misc. Amusement & Recreation
CPRI,Consumer Discretionary,Apparel
CPRT,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CPRX,Health Care,Biotechnology: Pharmaceutical Preparations
CPS,Consumer Discretionary,Auto Parts:O.E.M.
CPSH,Consumer Discretionary,Building Materials
CPSS,Finance,Finance: Consumer Services
CPT,Real Estate,Real Estate Investment Trusts
CPZ,Finance,Trusts Except Educational Religious and Charitable
CQP,Utilities,Oil/Gas Transmission
CR,Industrials,Metal Fabrications
CRAI,Consumer Discretionary,Other Consumer Services
CRAQR,Finance,Blank Checks
CRAQU,Finance,Blank Checks
CRBD,Finance,Life Insurance
CRBG,Finance,Life Insurance
CRBP,Health Care,Biotechnology: Pharmaceutical Preparations
CRBU,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRC,Energy,Oil & Gas Production
CRCL,Finance,Finance: Consumer Services
CRCT,Technology,Industrial Machinery/Components
CRDF,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRDL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRDO,Technology,Semiconductors
CRE,Consumer Discretionary,Publishing
CREG,Real Estate,Real Estate
CRESW,Finance,Real Estate
CRESY,Finance,Real Estate
CREV,Consumer Discretionary,Auto Parts:O.E.M.
CREVW,Consumer Discretionary,Auto Parts:O.E.M.
CREX,Technology,EDP Services
CRF,Finance,Finance/Investors Services
CRGO,Industrials,Integrated Freight & Logistics
CRGOW,Industrials,Integrated Freight & Logistics
CRGY,Energy,Oil & Gas Production
CRH,Industrials,Building Materials
CRI,Consumer Discretionary,Apparel
CRIS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRK,Energy,Oil & Gas Production
CRL,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRM,Technology,Computer Software: Prepackaged Software
CRMD,Health Care,Biotechnology: Pharmaceutical Preparations
CRML,Basic Materials,Metal Mining
CRMLW,Basic Materials,Metal Mining
CRMT,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CRNC,Technology,Computer Software: Prepackaged Software
CRNT,Technology,Radio And Television Broadcasting And Communications Equipment
CRNX,Health Care,Biotechnology: Pharmaceutical Preparations
CRON,Health Care,Medicinal Chemicals and Botanical Products
CROX,Consumer Discretionary,Shoe Manufacturing
CRS,Industrials,Steel/Iron Ore
CRSP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRSR,Technology,Computer peripheral equipment
CRT,Energy,Oil & Gas Production
CRTO,Consumer Discretionary,Advertising
CRUS,Technology,Semiconductors
CRVL,Finance,Specialty Insurers
CRVO,Health Care,Biotechnology: Pharmaceutical Preparations
CRVS,Health Care,Biotechnology: Pharmaceutical Preparations
CRWD,Technology,Computer Software: Prepackaged Software
CRWS,Consumer Discretionary,Textiles
CRWV,Technology,Computer Software: Prepackaged Software
CSAI,Technology,Computer Software: Programming Data Processing
CSAN,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CSBR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CSCO,Telecommunications,Computer Communications Equipment
CSGP,Real Estate,Real Estate
CSGS,Technology,EDP Services
CSIQ,Technology,Semiconductors
CSL,Industrials,Specialty Chemicals
CSPI,Technology,EDP Services
CSQ,Finance,Finance Companies
CSR,Real Estate,Real Estate Investment Trusts
CSTE,Industrials,Building Materials
CSTL,Health Care,Medical Specialities
CSTM,Industrials,Metal Fabrications
CSV,Consumer Discretionary,Other Consumer Services
CSW,Industrials,Home Furnishings
CSWC,Consumer Discretionary,Textiles
CSWCZ,Finance,Finance Companies
CSX,Industrials,Railroads
CTAS,Industrials,Garments and Clothing
CTBB,Telecommunications,Telecommunications Equipment
CTBI,Finance,Major Banks
CTDD,Telecommunications,Telecommunications Equipment
CTEV,Real Estate,Real Estate
CTGO,Basic Materials,Precious Metals
CTKB,Industrials,Biotechnology: Laboratory Analytical Instruments
CTLP,Miscellaneous,Office Equipment/Supplies/Services
CTM,Consumer Discretionary,Professional Services
CTMX,Health Care,Biotechnology: Pharmaceutical Preparations
CTNM,Health Care,Biotechnology: Pharmaceutical Preparations
CTNT,Consumer Discretionary,Motor Vehicles
CTO,Real Estate,Real Estate Investment Trusts
CTOR,Health Care,Biotechnology: Pharmaceutical Preparations
CTOS,Consumer Discretionary,Diversified Commercial Services
CTRA,Energy,Oil & Gas Production
CTRE,Real Estate,Real Estate Investment Trusts
CTRI,Utilities,Oil & Gas Production
CTRM,Consumer Discretionary,Marine Transportation
CTRN,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CTS,Technology,Electrical Products
CTSH,Technology,EDP Services
CTSO,Health Care,Medical/Dental Instruments
CTVA,Consumer Staples,Farming/Seeds/Milling
CTW,Technology,EDP Services
CTXR,Health Care,Biotechnology: Pharmaceutical Preparations
CUB,Industrials,Industrial Machinery/Components
CUBB,Finance,Major Banks
CUBE,Real Estate,Real Estate Investment Trusts
CUBI,Finance,Major Banks
CUBWU,Finance,Blank Checks
CUE,Health Care,Biotechnology: Pharmaceutical Preparations
CUK,Consumer Discretionary,Marine Transportation
CULP,Consumer Discretionary,Textiles
CUPR,Health Care,Biotechnology: Pharmaceutical Preparations
CURB,Finance,Real Estate
CURI,Consumer Discretionary,Movies/Entertainment
CURIW,Consumer Discretionary,Movies/Entertainment
CURR,Real Estate,Real Estate
CURV,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CURX,Health Care,Biotechnology: Pharmaceutical Preparations
CUZ,Real Estate,Real Estate Investment Trusts
CV,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVAC,Health Care,Biotechnology: Pharmaceutical Preparations
CVBF,Finance,Major Banks
CVCO,Consumer Discretionary,Homebuilding
CVE,Energy,Oil & Gas Production
CVEO,Consumer Discretionary,Hotels/Resorts
CVGI,Consumer Discretionary,Auto Parts:O.E.M.
CVGW,Consumer Discretionary,Specialty Foods
CVI,Energy,Integrated oil Companies
CVKD,Health Care,Biotechnology: Pharmaceutical Preparations
CVLG,Industrials,Trucking Freight/Courier Services
CVLT,Technology,Computer Software: Prepackaged Software
CVM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVNA,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CVR,Industrials,Industrial Machinery/Components
CVRX,Health Care,Medical/Dental Instruments
CVS,Consumer Staples,Retail-Drug Stores and Proprietary Stores
CVU,Industrials,Military/Government/Technical
CVV,Technology,Industrial Machinery/Components
CVX,Energy,Integrated oil Companies
CW,Technology,Industrial Machinery/Components
CWAN,Technology,Computer Software: Prepackaged Software
CWBC,Finance,Major Banks
CWCO,Utilities,Water Supply
CWD,Finance,Real Estate
CWEN,Utilities,Electric Utilities: Central
CWH,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CWK,Finance,Real Estate
CWST,Utilities,Environmental Services
CWT,Utilities,Water Supply
CX,Industrials,Building Materials
CXAI,Technology,EDP Services
CXAIW,Technology,EDP Services
CXDO,Telecommunications,Telecommunications Equipment
CXE,Finance,Investment Managers
CXH,Finance,Investment Managers
CXM,Technology,Computer Software: Prepackaged Software
CXT,Industrials,Metal Fabrications
CXW,Real Estate,Real Estate Investment Trusts
CYBN,Health Care,Biotechnology: Pharmaceutical Preparations
CYBR,Technology,Computer Software: Prepackaged Software
CYCN,Health Care,Biotechnology: Pharmaceutical Preparations
CYCU,Technology,EDP Services
CYCUW,Technology,EDP Services
CYD,Industrials,Industrial Machinery/Components
CYH,Health Care,Hospital/Nursing Management
CYN,Technology,EDP Services
CYRX,Health Care,Biotechnology: Pharmaceutical Preparations
CYTK,Health Care,Biotechnology: Pharmaceutical Preparations
CZFS,Finance,Major Banks
CZNC,Finance,Major Banks
CZR,Consumer Discretionary,Hotels/Resorts
CZWI,Finance,Savings Institutions
D,Utilities,Electric Utilities: Central
DAAQU,Finance,Blank Checks
DAC,Consumer Discretionary,Marine Transportation
DAIC,Technology,EDP Services
DAICW,Technology,EDP Services
DAIO,Industrials,Electrical Products
DAKT,Consumer Discretionary,Miscellaneous manufacturing industries
DAL,Consumer Discretionary,Air Freight/Delivery Services
DALN,Consumer Discretionary,Newspapers/Magazines
DAN,Consumer Discretionary,Auto Parts:O.E.M.
DAO,Real Estate,Other Consumer Services
DAR,Consumer Staples,Packaged Foods
DARE,Health Care,Biotechnology: Pharmaceutical Preparations
DASH,Technology,EDP Services
DAVA,Technology,EDP Services
DAVE,Finance,Finance: Consumer Services
DAVEW,Finance,Finance: Consumer Services
DAWN,Health Care,Biotechnology: Pharmaceutical Preparations
DAY,Technology,Computer Software: Prepackaged Software
DB,Finance,Major Banks
DBD,Miscellaneous,Office Equipment/Supplies/Services
DBGI,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DBI,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DBRG,Real Estate,Real Estate Investment Trusts
DBVT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DBX,Technology,Computer Software: Prepackaged Software
DC,Basic Materials,Metal Mining
DCBO,Technology,Computer Software: Prepackaged Software
DCGO,Health Care,Medical/Nursing Services
DCI,Industrials,Pollution Control Equipment
DCO,Industrials,Military/Government/Technical
DCOM,Finance,Major Banks
DCOMG,Finance,Major Banks
DCOMP,Finance,Major Banks
DCTH,Health Care,Medical/Dental Instruments
DD,Industrials,Major Chemicals
DDC,Consumer Staples,Packaged Foods
DDD,Technology,Computer Software: Prepackaged Software
DDI,Technology,EDP Services
DDL,Consumer Discretionary,Catalog/Specialty Distribution
DDOG,Technology,Computer Software: Prepackaged Software
DDS,Consumer Discretionary,Department/Specialty Retail Stores
DDT,Consumer Discretionary,Department/Specialty Retail Stores
DE,Industrials,Industrial Machinery/Components
DEA,Real Estate,Real Estate Investment Trusts
DECK,Consumer Discretionary,Shoe Manufacturing
DEFT,Finance,Finance: Consumer Services
DEI,Real Estate,Real Estate Investment Trusts
DELL,Technology,Computer Manufacturing
DENN,Consumer Discretionary,Restaurants
DEO,Consumer Staples,Beverages (Production/Distribution)
DERM,Health Care,Biotechnology: Pharmaceutical Preparations
DEVS,Finance,Finance/Investors Services
DFDV,Finance,Finance: Consumer Services
DFH,Consumer Discretionary,Homebuilding
DFIN,Consumer Discretionary,Other Consumer Services
DFLI,Miscellaneous,Industrial Machinery/Components
DFLIW,Miscellaneous,Industrial Machinery/Components
DFP,Finance,Investment Managers
DFSC,Technology,Computer Software: Prepackaged Software
DFSCW,Technology,Computer Software: Prepackaged Software
DG,Consumer Discretionary,Department/Specialty Retail Stores
DGICA,Finance,Property-Casualty Insurers
DGICB,Finance,Property-Casualty Insurers
DGII,Telecommunications,Computer Communications Equipment
DGLY,Technology,Radio And Television Broadcasting And Communications Equipment
DGNX,Technology,EDP Services
DGX,Health Care,Medical Specialities
DGXX,Finance,Finance: Consumer Services
DH,Technology,Computer Software: Prepackaged Software
DHAI,Health Care,Medical/Dental Instruments
DHAIW,Health Care,Medical/Dental Instruments
DHC,Real Estate,Real Estate Investment Trusts
DHCNI,Real Estate,Real Estate Investment Trusts
DHCNL,Real Estate,Real Estate Investment Trusts
DHF,Finance,Finance Companies
DHI,Consumer Discretionary,Homebuilding
DHIL,Finance,Investment Managers
DHR,Industrials,Industrial Machinery/Components
DHT,Consumer Discretionary,Marine Transportation
DHX,Real Estate,Real Estate
DHY,Finance,Finance/Investors Services
DIAX,Finance,Finance Companies
DIBS,Consumer Discretionary,Catalog/Specialty Distribution
DIN,Consumer Discretionary,Restaurants
DINO,Energy,Natural Gas Distribution
DIOD,Technology,Semiconductors
DIS,Consumer Discretionary,Services-Misc. Amusement & Recreation
DIT,Consumer Discretionary,Food Distributors
DJCO,Consumer Discretionary,Newspapers/Magazines
DJT,Technology,Computer Software: Programming Data Processing
DJTWW,Technology,Computer Software: Programming Data Processing
DK,Energy,Integrated oil Companies
DKI,Technology,Computer Software: Prepackaged Software
DKL,Energy,Natural Gas Distribution
DKNG,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,Consumer Discretionary,Other Specialty Stores
DLB,Miscellaneous,Multi-Sector Companies
